n,sn,numdivs,maxdivs
1,1.0,[1.],[1.]
n,sn,numdivs,maxdivs
1,1.0,[1.],[1.]
n,sn,numdivs,maxdivs
1,1.0,[1.],[1.]
n,sn,numdivs,maxdivs
1,1.0,1,1
2,3.0,2,2
3,6.0,4,4
7,28.0,6,6
8,36.0,9,9
15,120.0,16,16
24,300.0,18,18
32,528.0,20,20
35,630.0,24,24
63,2016.0,36,36
80,3240.0,40,40
104,5460.0,48,48
224,25200.0,90,90
n,sn,numdivs,maxdivs
1,1.0,1,1
2,3.0,2,2
3,6.0,4,4
7,28.0,6,6
8,36.0,9,9
15,120.0,16,16
24,300.0,18,18
32,528.0,20,20
35,630.0,24,24
63,2016.0,36,36
80,3240.0,40,40
104,5460.0,48,48
224,25200.0,90,90
384,73920.0,112,112
560,157080.0,128,128
935,437580.0,144,144
1224,749700.0,162,162
n,sn,numdivs,maxdivs
1500,1125750.0,64,64
1504,1131760.0,80,80
1512,1143828.0,96,96
1520,1155960.0,144,144
1539,1185030.0,160,160
1664,1385280.0,168,168
1728,1493856.0,192,192
2015,2031120.0,240,240
2079,2162160.0,320,320
n,sn,numdivs,maxdivs
3100,4806550.0,48,48
3104,4818960.0,160,160
3135,4915680.0,288,288
n,sn,numdivs,maxdivs
2500,3126250.0,40,40
2504,3136260.0,48,48
2507,3143778.0,64,64
2511,3153816.0,80,80
2519,3173940.0,144,144
2600,3381300.0,162,162
2624,3444000.0,192,192
2639,3483480.0,256,256
n,sn,numdivs,maxdivs
2079,2162160.0,320,320
n,sn,numdivs,maxdivs
2079,2162160.0,320,320
5984,17907120.0,480,480
5984,17907120.0,480,480
